Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-0.28,-0.17,-0.1,-0.19,-0.11,-0.22,-0.2,-0.08,-0.15,-0.22,-0.19,-0.22,-0.18,***,***,-0.13,-0.17,-0.19
1881,-0.14,-0.16,0.05,0.05,0.03,-0.19,-0.05,-0.01,-0.13,-0.2,-0.21,-0.1,-0.09,-0.1,-0.17,0.04,-0.09,-0.18
1882,0.15,0.16,0.05,-0.18,-0.15,-0.25,-0.2,-0.04,-0.09,-0.24,-0.15,-0.23,-0.1,-0.09,0.07,-0.09,-0.16,-0.16
1883,-0.3,-0.38,-0.12,-0.16,-0.19,-0.12,-0.07,-0.14,-0.2,-0.13,-0.22,-0.15,-0.18,-0.19,-0.31,-0.16,-0.11,-0.18
1884,-0.15,-0.07,-0.36,-0.42,-0.36,-0.4,-0.34,-0.26,-0.26,-0.23,-0.29,-0.28,-0.29,-0.27,-0.12,-0.38,-0.33,-0.26
1885,-0.58,-0.29,-0.24,-0.42,-0.41,-0.43,-0.35,-0.31,-0.23,-0.19,-0.19,-0.04,-0.31,-0.33,-0.38,-0.36,-0.36,-0.2
1886,-0.41,-0.45,-0.38,-0.27,-0.25,-0.38,-0.21,-0.33,-0.25,-0.28,-0.3,-0.26,-0.31,-0.3,-0.3,-0.3,-0.31,-0.28
1887,-0.72,-0.52,-0.33,-0.38,-0.31,-0.23,-0.22,-0.31,-0.22,-0.32,-0.23,-0.33,-0.34,-0.34,-0.5,-0.34,-0.26,-0.26
1888,-0.37,-0.35,-0.4,-0.22,-0.21,-0.18,-0.09,-0.15,-0.09,0.02,0.01,-0.06,-0.17,-0.2,-0.35,-0.28,-0.14,-0.02
1889,-0.11,0.19,0.08,0.08,-0.02,-0.13,-0.09,-0.19,-0.21,-0.22,-0.32,-0.29,-0.1,-0.08,0.01,0.05,-0.14,-0.25
1890,-0.43,-0.44,-0.39,-0.36,-0.45,-0.26,-0.26,-0.37,-0.39,-0.23,-0.47,-0.3,-0.36,-0.36,-0.39,-0.4,-0.3,-0.36
1891,-0.41,-0.46,-0.17,-0.27,-0.18,-0.2,-0.19,-0.15,-0.13,-0.2,-0.34,-0.03,-0.23,-0.25,-0.39,-0.21,-0.18,-0.22
1892,-0.27,-0.11,-0.34,-0.33,-0.24,-0.22,-0.31,-0.24,-0.12,-0.11,-0.4,-0.37,-0.26,-0.23,-0.14,-0.31,-0.26,-0.21
